# Bench capture -- DAQ-2200, firmware 4.11b
# operator: A. Du
# date: 2026-03-14T09:15:00+08:00
# sample_rate_hz = 500
# columns: index ; time_s ; channel_a_volts ; probe_temp_c ; status
#
# NOTE: status=OK means the sample is trustworthy. Anything else is not.

30 ; 0.060000 ; 0.56062 ; 21.571 ; OK
31 ; 0.062000 ; 0.16413 ; 21.656 ; OK
32 ; 0.064000 ; -0.30140 ; 21.669 ; OK
33 ; 0.066000 ; -0.14477 ; 21.630 ; OK
34 ; 0.068000 ; 0.14249 ; 21.579 ; OK
35 ; 0.070000 ; 0.36372 ; 21.623 ; OK
36 ; 0.072000 ; 0.24153 ; 21.628 ; OK
37 ; 0.074000 ; 0.52875 ; 21.636 ; OK
38 ; 0.076000 ; 0.28966 ; 21.665 ; OK
39 ; 0.078000 ; 0.13107 ; 21.593 ; OK
40 ; 0.080000 ; -0.11135 ; 21.776 ; OK
41 ; 0.082000 ; -1.23443 ; 21.703 ; OK
42 ; 0.084000 ; -1.92319 ; 21.647 ; OK
43 ; 0.086000 ; -2.43327 ; 21.723 ; OK
44 ; 0.088000 ; -1.87646 ; 21.674 ; OK
45 ; 0.090000 ; -1.99349 ; 21.726 ; OK
46 ; 0.092000 ; -2.04597 ; 21.660 ; OK
47 ; 0.094000 ; -1.62700 ; 21.640 ; OK
48 ; 0.096000 ; -1.16202 ; 21.645 ; OK
49 ; 0.098000 ; -1.65440 ; 21.741 ; OK
50 ; 0.100000 ; -1.38990 ; 21.658 ; OK
51 ; 0.102000 ; -1.55900 ; 21.674 ; OK
52 ; 0.104000 ; -1.84967 ; 21.725 ; OK
53 ; 0.106000 ; -1.91150 ; 21.712 ; OK
54 ; 0.108000 ; -2.31335 ; 21.737 ; OK
55 ; 0.110000 ; -2.77136 ; 21.644 ; OK
56 ; 0.112000 ; -2.56375 ; 21.769 ; OK
57 ; 0.114000 ; -2.03025 ; 21.725 ; OK
58 ; 0.116000 ; -2.34909 ; 21.737 ; OK
59 ; 0.118000 ; -1.28143 ; 21.747 ; OK
60 ; 0.120000 ; -0.84095 ; 21.728 ; OK
61 ; 0.122000 ; -0.68963 ; 21.687 ; OK
62 ; 0.124000 ; -1.13713 ; 21.716 ; OK
63 ; 0.126000 ; -1.11134 ; 21.732 ; OK
64 ; 0.128000 ; -1.42196 ; 21.770 ; OK
65 ; 0.130000 ; -1.70241 ; 21.736 ; OK
66 ; 0.132000 ; -1.92711 ; 21.755 ; OK
67 ; 0.134000 ; -1.64083 ; 21.764 ; OK
68 ; 0.136000 ; -1.32114 ; 21.814 ; OK
69 ; 0.138000 ; -1.04577 ; 21.692 ; OK
70 ; 0.140000 ; -0.41198 ; 21.716 ; OK
71 ; 0.142000 ; 0.22111 ; 21.702 ; OK
72 ; 0.144000 ; 0.76505 ; 21.791 ; OK
73 ; 0.146000 ; 1.20455 ; 21.726 ; OK
74 ; 0.148000 ; 1.42174 ; 21.796 ; OK
75 ; 0.150000 ; 0.84660 ; 21.830 ; OK
76 ; 0.152000 ; 0.60522 ; 21.864 ; OK
77 ; 0.154000 ; 0.51295 ; 21.759 ; OK
78 ; 0.156000 ; 0.17742 ; 21.881 ; OK
79 ; 0.158000 ; 0.37506 ; 21.810 ; OK
80 ; 0.160000 ; 0.40061 ; 21.813 ; OK
81 ; 0.162000 ; 1.30279 ; 21.773 ; OK
82 ; 0.164000 ; 2.00850 ; 21.781 ; OK
83 ; 0.166000 ; 1.93879 ; 21.833 ; OK
84 ; 0.168000 ; 2.59829 ; 21.967 ; OK
85 ; 0.170000 ; 2.28138 ; 21.829 ; OK
86 ; 0.172000 ; 2.04224 ; 21.725 ; OK
87 ; 0.174000 ; 2.31912 ; 21.962 ; OK
88 ; 0.176000 ; 1.73966 ; 21.825 ; OK
89 ; 0.178000 ; 1.42761 ; 21.880 ; OK
90 ; 0.180000 ; 0.84094 ; 21.965 ; OK
91 ; 0.182000 ; 1.36640 ; 21.797 ; OK
92 ; 0.184000 ; 1.33243 ; 21.867 ; OK
93 ; 0.186000 ; 2.27066 ; 21.958 ; OK
94 ; 0.188000 ; 1.98980 ; 21.863 ; OK
95 ; 0.190000 ; 2.41864 ; 21.860 ; OK
96 ; 0.192000 ; 1.93168 ; 21.930 ; OK
97 ; 0.194000 ; 1.97225 ; 21.849 ; OK
98 ; 0.196000 ; 1.49179 ; 21.796 ; OK
99 ; 0.198000 ; 1.62071 ; 21.847 ; OK
100 ; 0.200000 ; 0.58541 ; 21.998 ; OK
101 ; 0.202000 ; 0.02814 ; 21.935 ; OK
102 ; 0.204000 ; -0.28079 ; 21.976 ; OK
103 ; 0.206000 ; 0.37556 ; 21.877 ; OK
104 ; 0.208000 ; 0.36329 ; 21.905 ; OK
105 ; 0.210000 ; 0.62298 ; 21.928 ; OK
106 ; 0.212000 ; 0.42674 ; 21.904 ; OK
107 ; 0.214000 ; 0.78520 ; 21.941 ; OK
108 ; 0.216000 ; 0.15867 ; 21.780 ; OK
109 ; 0.218000 ; 0.29176 ; 21.839 ; OK
110 ; 0.220000 ; 0.01017 ; 21.831 ; OK
111 ; 0.222000 ; -1.03144 ; 21.914 ; OK
112 ; 0.224000 ; -0.93051 ; 21.893 ; OK
113 ; 0.226000 ; -1.76692 ; 21.959 ; OK
114 ; 0.228000 ; -1.73132 ; 21.994 ; OK
115 ; 0.230000 ; -2.47404 ; 21.879 ; OK
116 ; 0.232000 ; -1.40292 ; 21.998 ; OK
117 ; 0.234000 ; -1.33637 ; 21.927 ; OK
118 ; 0.236000 ; -0.87401 ; 22.023 ; OK
119 ; 0.238000 ; -0.76028 ; 21.965 ; OK
120 ; 0.240000 ; -1.24360 ; 21.922 ; OK
121 ; 0.242000 ; -1.74107 ; 22.024 ; OK
122 ; 0.244000 ; -2.01254 ; 21.971 ; OK
123 ; 0.246000 ; -2.00647 ; 22.005 ; OK
124 ; 0.248000 ; -2.35169 ; 21.955 ; OK
125 ; 0.250000 ; -2.97060 ; 21.947 ; OK
126 ; 0.252000 ; -2.86998 ; 22.053 ; OK
127 ; 0.254000 ; -2.44614 ; 21.963 ; OK
128 ; 0.256000 ; -2.27690 ; 21.916 ; OK
129 ; 0.258000 ; -1.30058 ; 22.035 ; OK
130 ; 0.260000 ; -1.52735 ; 22.006 ; OK
131 ; 0.262000 ; -0.83637 ; 22.066 ; OK
132 ; 0.264000 ; -0.87136 ; 22.007 ; OK
133 ; 0.266000 ; -0.76682 ; 22.081 ; OK
134 ; 0.268000 ; -1.24418 ; 22.013 ; OK
135 ; 0.270000 ; -1.93851 ; 22.017 ; OK
136 ; 0.272000 ; -2.28649 ; 22.026 ; OK
137 ; 0.274000 ; -1.59043 ; 22.083 ; OK
138 ; 0.276000 ; -1.24424 ; 22.044 ; OK
139 ; 0.278000 ; -0.59094 ; 22.102 ; OK
140 ; 0.280000 ; -0.65010 ; 22.163 ; OK
141 ; 0.282000 ; 0.34787 ; 22.009 ; OK
142 ; 0.284000 ; 0.50907 ; 22.020 ; OK
143 ; 0.286000 ; 0.25383 ; 22.065 ; OK
144 ; 0.288000 ; 0.67998 ; 22.131 ; OK
145 ; 0.290000 ; 0.80724 ; 22.085 ; OK
146 ; 0.292000 ; 0.15155 ; 22.076 ; OK
147 ; 0.294000 ; -0.07833 ; 22.099 ; OK
148 ; 0.296000 ; -0.38844 ; 22.116 ; OK
149 ; 0.298000 ; 0.06524 ; 22.104 ; OK
150 ; 0.300000 ; 1.22253 ; 22.127 ; OK
151 ; 0.302000 ; 0.77412 ; 22.181 ; OK
152 ; 0.304000 ; 1.92428 ; 22.102 ; OK
153 ; 0.306000 ; 1.94499 ; 22.057 ; OK
154 ; 0.308000 ; 2.34156 ; 22.079 ; OK
155 ; 0.310000 ; 1.95956 ; 22.218 ; OK
156 ; 0.312000 ; 1.87117 ; 22.087 ; OK
157 ; 0.314000 ; 1.77327 ; 22.171 ; OK
158 ; 0.316000 ; 1.92964 ; 22.146 ; OK
159 ; 0.318000 ; 0.89395 ; 22.038 ; OK
160 ; 0.320000 ; 0.62709 ; 21.995 ; OK
161 ; 0.322000 ; 0.93102 ; 22.078 ; OK
162 ; 0.324000 ; 1.64688 ; 22.195 ; OK
163 ; 0.326000 ; 2.01449 ; 22.216 ; OK
164 ; 0.328000 ; 2.37404 ; 22.185 ; OK
165 ; 0.330000 ; 2.81469 ; 22.191 ; OK
166 ; 0.332000 ; 2.68114 ; 22.089 ; OK
167 ; 0.334000 ; 2.31184 ; 22.226 ; OK
168 ; 0.336000 ; 2.00363 ; 22.245 ; OK
169 ; 0.338000 ; 1.00136 ; 22.139 ; OK
170 ; 0.340000 ; 0.94798 ; 22.221 ; OK
171 ; 0.342000 ; -0.00977 ; 22.263 ; OK
172 ; 0.344000 ; 0.30215 ; 22.237 ; OK
173 ; 0.346000 ; 0.22382 ; 22.160 ; OK
174 ; 0.348000 ; 0.73870 ; 22.208 ; OK
175 ; 0.350000 ; 0.82702 ; 22.288 ; OK
176 ; 0.352000 ; 0.92881 ; 22.178 ; OK
177 ; 0.354000 ; 0.63531 ; 22.243 ; OK
178 ; 0.356000 ; 0.92223 ; 22.201 ; OK
179 ; 0.358000 ; 0.56236 ; 22.340 ; OK
180 ; 0.360000 ; -0.04994 ; 22.280 ; OK
181 ; 0.362000 ; -1.02697 ; 22.260 ; OK
182 ; 0.364000 ; -0.43047 ; 22.247 ; OK
183 ; 0.366000 ; -1.63710 ; 22.306 ; OK
184 ; 0.368000 ; -1.68281 ; 22.229 ; OK
185 ; 0.370000 ; -1.84557 ; 22.293 ; OK
186 ; 0.372000 ; -1.14415 ; 22.275 ; OK
187 ; 0.374000 ; -1.44052 ; 22.250 ; OK
188 ; 0.376000 ; -0.76003 ; 22.281 ; OK
189 ; 0.378000 ; -0.58493 ; 22.273 ; OK
190 ; 0.380000 ; -0.75504 ; 22.301 ; OK
191 ; 0.382000 ; -1.50823 ; 22.203 ; OK
192 ; 0.384000 ; -1.55986 ; 22.208 ; OK
193 ; 0.386000 ; -2.48891 ; 22.246 ; OK
194 ; 0.388000 ; -2.87671 ; 22.319 ; OK
195 ; 0.390000 ; -2.33333 ; 22.317 ; OK
196 ; 0.392000 ; -2.65436 ; 22.315 ; OK
197 ; 0.394000 ; -1.91595 ; 22.239 ; OK
198 ; 0.396000 ; -1.88768 ; 22.348 ; OK
199 ; 0.398000 ; -1.18062 ; 22.264 ; OK
200 ; 0.400000 ; -1.64372 ; 22.309 ; OK
201 ; 0.402000 ; -1.16600 ; 22.262 ; OK
202 ; 0.404000 ; -1.20679 ; 22.193 ; OK
203 ; 0.406000 ; -1.49962 ; 22.284 ; OK
204 ; 0.408000 ; -2.27484 ; 22.383 ; OK
205 ; 0.410000 ; -2.21349 ; 22.311 ; OK
206 ; 0.412000 ; -2.19847 ; 22.442 ; OK
207 ; 0.414000 ; -2.19043 ; 22.315 ; OK
208 ; 0.416000 ; -1.05418 ; 22.278 ; OK
209 ; 0.418000 ; -0.96459 ; 22.280 ; OK
210 ; 0.420000 ; -0.50764 ; 22.360 ; OK
211 ; 0.422000 ; 0.62331 ; 22.341 ; OK
212 ; 0.424000 ; 0.39431 ; 22.365 ; OK
213 ; 0.426000 ; 0.50214 ; 22.394 ; OK
214 ; 0.428000 ; 0.54225 ; 22.394 ; OK
215 ; 0.430000 ; 0.08814 ; 22.348 ; OK
216 ; 0.432000 ; -0.11261 ; 22.308 ; OK
217 ; 0.434000 ; -0.64053 ; 22.357 ; OK
218 ; 0.436000 ; -0.04394 ; 22.414 ; OK
219 ; 0.438000 ; 0.01894 ; 22.418 ; OK
220 ; 0.440000 ; 0.23032 ; 22.462 ; OK
221 ; 0.442000 ; 0.98415 ; 22.485 ; OK
222 ; 0.444000 ; 1.94987 ; 22.319 ; OK
223 ; 0.446000 ; 2.13077 ; 22.465 ; OK
224 ; 0.448000 ; 2.71011 ; 22.393 ; OK
225 ; 0.450000 ; 2.28981 ; 22.410 ; OK
226 ; 0.452000 ; 1.63465 ; 22.416 ; OK
227 ; 0.454000 ; 1.77413 ; 22.403 ; OK
228 ; 0.456000 ; 1.23954 ; 22.426 ; OK
229 ; 0.458000 ; 1.28679 ; 22.451 ; OK
230 ; 0.460000 ; 1.13975 ; 22.418 ; OK
231 ; 0.462000 ; 1.40108 ; 22.396 ; OK
232 ; 0.464000 ; 1.57470 ; 22.405 ; OK
233 ; 0.466000 ; 2.05427 ; 22.498 ; OK
234 ; 0.468000 ; 2.49078 ; 22.508 ; OK
235 ; 0.470000 ; 3.00527 ; 22.517 ; OK
236 ; 0.472000 ; 2.87861 ; 22.482 ; OK
237 ; 0.474000 ; 2.54210 ; 22.430 ; OK
238 ; 0.476000 ; 1.43386 ; 22.422 ; OK
239 ; 0.478000 ; 1.69309 ; 22.513 ; OK
240 ; 0.480000 ; 1.23339 ; 22.490 ; OK
241 ; 0.482000 ; 0.64365 ; 22.483 ; OK
242 ; 0.484000 ; 0.57128 ; 22.491 ; OK
243 ; 0.486000 ; 0.63543 ; 22.453 ; OK
244 ; 0.488000 ; 0.77404 ; 22.535 ; OK
245 ; 0.490000 ; 1.54786 ; 22.471 ; OK
246 ; 0.492000 ; 1.18548 ; 22.508 ; OK
247 ; 0.494000 ; 1.32099 ; 22.523 ; OK
248 ; 0.496000 ; 0.94781 ; 22.456 ; OK
249 ; 0.498000 ; 0.59605 ; 22.437 ; OK
250 ; 0.500000 ; -0.51891 ; 22.565 ; OK
251 ; 0.502000 ; -0.75485 ; 22.564 ; OK
252 ; 0.504000 ; -0.96496 ; 22.516 ; OK
253 ; 0.506000 ; -1.11543 ; 22.484 ; OK
254 ; 0.508000 ; -1.19288 ; 22.504 ; OK
255 ; 0.510000 ; -1.08468 ; 22.582 ; OK
256 ; 0.512000 ; -0.55919 ; 22.545 ; OK
257 ; 0.514000 ; -0.57145 ; 22.553 ; OK
258 ; 0.516000 ; -0.55594 ; 22.533 ; OK
259 ; 0.518000 ; -0.67842 ; 22.615 ; OK
260 ; 0.520000 ; -0.86885 ; 22.545 ; OK
261 ; 0.522000 ; -1.15983 ; 22.582 ; OK
262 ; 0.524000 ; -1.44836 ; 22.601 ; OK
263 ; 0.526000 ; -2.29991 ; 22.453 ; OK
264 ; 0.528000 ; -2.84890 ; 22.578 ; OK
265 ; 0.530000 ; -2.32774 ; 22.567 ; OK
266 ; 0.532000 ; -2.63252 ; 22.635 ; OK
267 ; 0.534000 ; -2.44282 ; 22.583 ; OK
268 ; 0.536000 ; -2.00715 ; 22.508 ; OK
269 ; 0.538000 ; -1.25264 ; 22.574 ; OK
270 ; 0.540000 ; -0.79598 ; 22.500 ; OK
271 ; 0.542000 ; -1.04824 ; 22.534 ; OK
272 ; 0.544000 ; -1.19546 ; 22.617 ; OK
273 ; 0.546000 ; -1.52215 ; 22.518 ; OK
274 ; 0.548000 ; -2.19569 ; 22.609 ; OK
275 ; 0.550000 ; -2.10913 ; 22.593 ; OK
276 ; 0.552000 ; -2.36010 ; 22.704 ; OK
277 ; 0.554000 ; -1.82297 ; 22.599 ; OK
278 ; 0.556000 ; -1.44834 ; 22.594 ; OK
279 ; 0.558000 ; -0.86651 ; 22.655 ; OK
280 ; 0.560000 ; -0.65470 ; 22.575 ; OK
281 ; 0.562000 ; -0.62302 ; 22.578 ; OK
282 ; 0.564000 ; 0.09594 ; 22.656 ; OK
283 ; 0.566000 ; 0.48335 ; 22.640 ; OK
284 ; 0.568000 ; 0.32827 ; 22.657 ; OK
285 ; 0.570000 ; -0.15614 ; 22.656 ; OK
286 ; 0.572000 ; -0.51121 ; 22.684 ; OK
287 ; 0.574000 ; -0.77679 ; 22.736 ; OK
288 ; 0.576000 ; -0.62655 ; 22.532 ; OK
289 ; 0.578000 ; -0.38072 ; 22.707 ; OK
290 ; 0.580000 ; 0.35301 ; 22.730 ; OK
291 ; 0.582000 ; 0.88044 ; 22.655 ; OK
292 ; 0.584000 ; 1.57386 ; 22.664 ; OK
293 ; 0.586000 ; 2.52661 ; 22.732 ; OK
294 ; 0.588000 ; 1.75611 ; 22.727 ; OK
295 ; 0.590000 ; 1.65632 ; 22.581 ; OK
296 ; 0.592000 ; 1.77794 ; 22.779 ; OK
297 ; 0.594000 ; 1.32737 ; 22.668 ; OK
298 ; 0.596000 ; 0.72540 ; 22.605 ; OK
299 ; 0.598000 ; 1.06940 ; 22.737 ; OK
300 ; 0.600000 ; 0.92738 ; 22.718 ; OK
301 ; 0.602000 ; 1.69864 ; 22.639 ; OK
302 ; 0.604000 ; 1.44516 ; 22.742 ; OK
303 ; 0.606000 ; 2.85647 ; 22.751 ; OK
304 ; 0.608000 ; 2.57230 ; 22.695 ; OK
305 ; 0.610000 ; 2.91490 ; 22.718 ; OK
306 ; 0.612000 ; 2.50563 ; 22.802 ; OK
307 ; 0.614000 ; 2.42970 ; 22.743 ; OK
308 ; 0.616000 ; 1.74928 ; 22.702 ; OK
309 ; 0.618000 ; 1.60661 ; 22.701 ; OK
310 ; 0.620000 ; 1.35303 ; 22.726 ; OK
311 ; 0.622000 ; 0.96289 ; 22.727 ; OK
312 ; 0.624000 ; 1.01196 ; 22.775 ; OK
313 ; 0.626000 ; 0.98680 ; 22.705 ; OK
314 ; 0.628000 ; 1.10911 ; 22.787 ; OK
315 ; 0.630000 ; 1.85556 ; 22.724 ; OK
316 ; 0.632000 ; 2.03601 ; 22.812 ; OK
317 ; 0.634000 ; 1.60909 ; 22.860 ; OK
318 ; 0.636000 ; 1.30526 ; 22.815 ; OK
319 ; 0.638000 ; 0.80310 ; 22.782 ; OK
320 ; 0.640000 ; -0.33695 ; 22.690 ; OK
321 ; 0.642000 ; -0.34106 ; 22.802 ; OK
322 ; 0.644000 ; -0.72603 ; 22.814 ; OK
323 ; 0.646000 ; -1.04758 ; 22.771 ; OK
324 ; 0.648000 ; -0.90294 ; 22.813 ; OK
325 ; 0.650000 ; -1.21211 ; 22.807 ; OK
326 ; 0.652000 ; -0.82722 ; 22.753 ; OK
327 ; 0.654000 ; -0.39479 ; 22.825 ; OK
328 ; 0.656000 ; -0.53635 ; 22.789 ; OK
329 ; 0.658000 ; -0.99611 ; 22.776 ; OK
330 ; 0.660000 ; -1.16812 ; 22.765 ; OK
331 ; 0.662000 ; -1.14220 ; 22.781 ; OK
332 ; 0.664000 ; -2.37390 ; 22.760 ; OK
333 ; 0.666000 ; -2.47962 ; 22.826 ; OK
334 ; 0.668000 ; -2.72316 ; 22.811 ; OK
335 ; 0.670000 ; -2.84070 ; 22.804 ; OK
336 ; 0.672000 ; -2.56840 ; 22.835 ; OK
337 ; 0.674000 ; -1.86767 ; 22.908 ; OK
338 ; 0.676000 ; -1.61200 ; 22.869 ; OK
339 ; 0.678000 ; -1.68083 ; 22.911 ; OK
340 ; 0.680000 ; -1.43780 ; 22.868 ; OK
341 ; 0.682000 ; -1.36568 ; 22.838 ; OK
342 ; 0.684000 ; -1.23362 ; 22.863 ; OK
343 ; 0.686000 ; -1.73226 ; 22.842 ; OK
344 ; 0.688000 ; -2.62845 ; 22.925 ; OK
345 ; 0.690000 ; -2.56596 ; 22.806 ; OK
346 ; 0.692000 ; -2.23712 ; 22.892 ; OK
347 ; 0.694000 ; -2.21070 ; 22.916 ; OK
348 ; 0.696000 ; -1.46693 ; 22.879 ; OK
349 ; 0.698000 ; -1.35971 ; 22.949 ; OK
350 ; 0.700000 ; -0.55352 ; 22.876 ; OK
351 ; 0.702000 ; -0.51571 ; 22.967 ; OK
352 ; 0.704000 ; 0.14964 ; 22.919 ; OK
353 ; 0.706000 ; 0.24044 ; 22.937 ; OK
354 ; 0.708000 ; -0.52035 ; 22.965 ; OK
355 ; 0.710000 ; -0.59168 ; 22.920 ; OK
356 ; 0.712000 ; -0.62037 ; 22.917 ; OK
357 ; 0.714000 ; -0.84131 ; 22.951 ; OK
358 ; 0.716000 ; -0.48491 ; 22.948 ; OK
359 ; 0.718000 ; -0.60776 ; 22.883 ; OK
360 ; 0.720000 ; 0.42579 ; 23.001 ; OK
361 ; 0.722000 ; 1.25728 ; 22.999 ; OK
362 ; 0.724000 ; 1.93452 ; 23.020 ; OK
363 ; 0.726000 ; 1.15466 ; 23.000 ; OK
364 ; 0.728000 ; 2.12158 ; 22.845 ; OK
365 ; 0.730000 ; 1.44327 ; 22.955 ; OK
366 ; 0.732000 ; 2.22950 ; 22.982 ; OK
367 ; 0.734000 ; 1.61707 ; 22.961 ; OK
368 ; 0.736000 ; 0.78988 ; 22.976 ; OK
369 ; 0.738000 ; 0.72424 ; 22.995 ; OK
370 ; 0.740000 ; 1.08989 ; 23.030 ; OK
371 ; 0.742000 ; 1.58807 ; 22.980 ; OK
372 ; 0.744000 ; 2.02212 ; 23.014 ; OK
373 ; 0.746000 ; 2.32809 ; 22.915 ; OK
374 ; 0.748000 ; 2.61453 ; 22.993 ; OK
375 ; 0.750000 ; 3.05788 ; 22.992 ; OK
376 ; 0.752000 ; 2.52374 ; 22.967 ; OK
377 ; 0.754000 ; 2.32180 ; 22.959 ; OK
378 ; 0.756000 ; 2.26123 ; 22.900 ; OK
379 ; 0.758000 ; 1.53995 ; 23.074 ; OK
380 ; 0.760000 ; 1.28917 ; 23.112 ; OK
381 ; 0.762000 ; 0.73062 ; 22.993 ; OK
382 ; 0.764000 ; 0.87291 ; 22.965 ; OK
383 ; 0.766000 ; 1.09453 ; 23.065 ; OK
384 ; 0.768000 ; 1.40144 ; 23.109 ; OK
385 ; 0.770000 ; 1.90335 ; 23.052 ; OK
386 ; 0.772000 ; 1.75397 ; 23.029 ; OK
387 ; 0.774000 ; 1.68114 ; 23.131 ; OK
388 ; 0.776000 ; 1.38804 ; 23.076 ; OK
389 ; 0.778000 ; 0.26052 ; 22.976 ; OK
390 ; 0.780000 ; 0.07419 ; 23.020 ; OK
391 ; 0.782000 ; -0.30686 ; 23.093 ; OK
392 ; 0.784000 ; -0.43651 ; 22.954 ; OK
393 ; 0.786000 ; -0.62827 ; 23.082 ; OK
394 ; 0.788000 ; -0.68354 ; 23.073 ; OK
395 ; 0.790000 ; -0.02063 ; 23.046 ; OK
396 ; 0.792000 ; -0.45585 ; 23.154 ; OK
397 ; 0.794000 ; -0.06945 ; 23.132 ; OK
398 ; 0.796000 ; -0.13876 ; 23.076 ; OK
399 ; 0.798000 ; -0.07150 ; 23.196 ; OK
400 ; 0.800000 ; -0.46979 ; 23.079 ; OK
401 ; 0.802000 ; -1.03798 ; 23.117 ; OK
402 ; 0.804000 ; -2.05094 ; 23.096 ; OK
403 ; 0.806000 ; -2.80438 ; 23.102 ; OK
404 ; 0.808000 ; -2.45327 ; 23.228 ; OK
405 ; 0.810000 ; -2.08717 ; 23.125 ; OK
406 ; 0.812000 ; -2.38735 ; 23.164 ; OK
407 ; 0.814000 ; -1.44419 ; 23.071 ; OK
408 ; 0.816000 ; -1.55781 ; 23.095 ; OK
409 ; 0.818000 ; -1.34332 ; 23.107 ; OK
410 ; 0.820000 ; -0.99046 ; 23.098 ; OK
411 ; 0.822000 ; -1.72028 ; 23.080 ; OK
412 ; 0.824000 ; -1.81270 ; 23.164 ; OK
413 ; 0.826000 ; -1.85859 ; 23.132 ; OK
414 ; 0.828000 ; -2.45900 ; 23.068 ; OK
415 ; 0.830000 ; -2.61884 ; 23.102 ; OK
416 ; 0.832000 ; -2.75511 ; 23.168 ; OK
417 ; 0.834000 ; -2.43019 ; 23.180 ; OK
418 ; 0.836000 ; -1.92542 ; 23.198 ; OK
419 ; 0.838000 ; -1.68288 ; 23.279 ; OK
420 ; 0.840000 ; NaN ; 23.200 ; ERR
421 ; 0.842000 ; -0.36602 ; 23.114 ; OK
422 ; 0.844000 ; -0.52770 ; 23.176 ; OK
423 ; 0.846000 ; -0.40557 ; 23.189 ; OK
424 ; 0.848000 ; -0.10578 ; 23.222 ; OK
425 ; 0.850000 ; -0.61950 ; 23.221 ; OK
426 ; 0.852000 ; -0.59351 ; 23.209 ; OK
427 ; 0.854000 ; -1.03864 ; 23.203 ; OK
428 ; 0.856000 ; -0.56330 ; 23.243 ; OK
429 ; 0.858000 ; -0.28144 ; 23.233 ; OK
430 ; 0.860000 ; -0.19297 ; 23.230 ; OK
431 ; 0.862000 ; 0.75947 ; 23.267 ; OK
432 ; 0.864000 ; 1.47991 ; 23.199 ; OK
433 ; 0.866000 ; 1.27819 ; 23.224 ; OK
434 ; 0.868000 ; 1.76588 ; 23.290 ; OK
435 ; 0.870000 ; 1.20915 ; 23.339 ; OK
436 ; 0.872000 ; 1.04948 ; 23.297 ; OK
437 ; 0.874000 ; 0.73940 ; 23.162 ; OK
438 ; 0.876000 ; 0.86407 ; 23.268 ; OK
439 ; 0.878000 ; 1.04986 ; 23.209 ; OK
440 ; 0.880000 ; 1.55095 ; 23.181 ; OK
441 ; 0.882000 ; 1.35355 ; 23.237 ; OK
442 ; 0.884000 ; 1.86440 ; 23.275 ; OK
443 ; 0.886000 ; 2.51263 ; 23.282 ; OK
444 ; 0.888000 ; 2.49955 ; 23.294 ; OK
445 ; 0.890000 ; 2.90884 ; 23.293 ; OK
446 ; 0.892000 ; 2.84784 ; 23.236 ; OK
447 ; 0.894000 ; 2.04763 ; 23.149 ; OK
448 ; 0.896000 ; 1.84162 ; 23.325 ; OK
449 ; 0.898000 ; 1.54288 ; 23.314 ; OK
450 ; 0.900000 ; 1.11730 ; 23.212 ; OK
451 ; 0.902000 ; 1.31297 ; 23.328 ; OK
452 ; 0.904000 ; 1.39931 ; 23.463 ; OK
453 ; 0.906000 ; 1.62967 ; 23.316 ; OK
454 ; 0.908000 ; 2.07604 ; 23.374 ; OK
455 ; 0.910000 ; 1.94573 ; 23.305 ; OK
456 ; 0.912000 ; 1.72248 ; 23.404 ; OK
457 ; 0.914000 ; 2.48526 ; 23.314 ; OK
