family,order,cutoff_hz,trial,rolloff_db_per_octave,passband_ripple_db,group_delay_ms,output_snr_db
butter,6,20,1,36.06,0.0173,47.877,24.226
butter,6,20,2,37.09,0.0139,47.615,24.259
butter,6,20,3,36.781,0.0134,47.36,23.432
butter,6,20,4,36.06,0.0191,48.711,23.334
butter,6,20,5,37.987,0.0389,47.792,23.737
butter,6,40,0,36.457,0.0324,24.328,22.311
butter,6,40,1,34.02,0.0032,23.658,22.899
butter,6,40,2,35.331,0.0114,22.873,21.686
butter,6,40,3,35.539,0.0169,23.65,23.109
butter,6,40,4,37.124,0.0031,24.535,21.761
butter,6,40,5,37.079,0.0345,24.206,23.141
butter,6,60,0,35.873,0.0355,16.012,22.098
butter,6,60,1,34.502,0.0149,15.841,21.301
butter,6,60,2,37.755,0.029,15.755,21.664
butter,6,60,3,39.328,0.0221,15.314,22.449
butter,6,60,4,34.747,0.0181,16.44,21.593
butter,6,60,5,39.324,0.0187,15.416,21.558
butter,6,80,0,38.086,0.0144,11.36,21.138
butter,6,80,1,35.097,0.0223,12.742,20.8
butter,6,80,2,34.675,0.0035,11.796,21.857
butter,6,80,3,37.927,0.0161,11.949,21.019
butter,6,80,4,33.754,0.0156,11.926,20.036
butter,6,80,5,36.593,0.0237,12.128,20.869
butter,6,100,0,35.65,0.0151,9.658,21.815
butter,6,100,1,38.156,0.0052,9.907,19.888
butter,6,100,2,36.126,0.0251,9.938,19.447
butter,6,100,3,36.303,0.0192,8.867,20.615
butter,6,100,4,36.736,0.015,10.053,20.542
butter,6,100,5,36.747,0.0272,9.445,19.566
butter,8,20,0,52.752,0.0016,63.786,24.171
butter,8,20,1,50.028,0.0292,63.751,23.754
butter,8,20,2,46.776,0.0042,63.514,23.847
butter,8,20,3,46.62,0.0161,63.58,24.745
butter,8,20,4,52.35,0.0072,63.232,23.945
butter,8,20,5,48.028,0.0152,63.369,24.054
butter,8,40,0,49.604,0.0205,32.083,22.974
butter,8,40,1,45.954,0.0269,31.474,23.563
butter,8,40,2,50.204,0.0043,32.048,23.63
butter,8,40,3,48.857,0.0635,31.666,23.708
butter,8,40,4,48.34,0.0096,31.589,24.215
butter,8,40,5,47.1,0.0276,31.627,23.194
butter,8,60,0,47.357,0.0178,20.637,23.499
butter,8,60,1,48.022,0.0173,20.655,24.094
butter,8,60,2,47.447,0.0099,20.835,22.994
butter,8,60,3,47.899,0.0001,21.117,22.26
butter,8,60,4,49.028,0.0458,21.994,22.906
butter,8,60,5,47.197,0.002,21.464,23.12
butter,8,80,0,46.247,0.0493,15.936,22.148
butter,8,80,1,46.797,0.0122,15.801,21.77
butter,8,80,2,49.566,0.0337,15.548,22.016
butter,8,80,3,47.643,0.0343,16.476,24.455
butter,8,80,4,48.071,0.0179,15.358,20.205
butter,8,80,5,51.813,0.009,16.41,22.359
butter,8,100,0,50.188,0.0066,12.752,21.424
butter,8,100,1,47.628,0.0177,12.344,20.876
butter,8,100,2,48.566,0.0025,12.699,21.81
butter,8,100,3,48.336,0.0139,12.877,22.571
butter,8,100,4,48.134,0.0371,13.386,20.284
butter,8,100,5,46.964,0.0166,12.711,20.921
butter,10,20,0,63.037,0.0231,79.841,25.631
butter,10,20,1,58.173,0.0103,79.689,24.523
butter,10,20,2,60.576,0.0112,79.527,25.923
butter,10,20,3,58.462,0.0282,79.239,25.306
butter,10,20,4,60.536,0.0447,79.809,25.806
butter,10,20,5,60.195,0.0045,79.718,25.52
butter,10,40,0,60.1,0.0072,39.205,23.811
butter,10,40,1,59.581,0.0063,38.951,23.131
butter,10,40,2,62.184,0.0193,40.203,25.005
butter,10,40,3,62.763,0.037,40.098,22.988
butter,10,40,4,60.4,0.006,40.116,23.439
butter,10,40,5,59.106,0.0175,39.559,23.91
butter,10,60,0,60.702,0.0093,26.121,24.144
butter,10,60,1,60.31,0.008,26.262,22.966
butter,10,60,2,57.776,0.0001,26.518,24.2
butter,10,60,3,59.334,0.0075,25.955,23.139
butter,10,60,4,63.687,0.062,26.475,22.851
butter,10,60,5,58.737,0.0294,26.949,24.072
butter,10,80,0,57.345,0.0066,19.799,24.172
butter,10,80,1,61.613,0.0198,20.051,23.767
butter,10,80,2,60.191,0.0145,20.089,23.806
butter,10,80,3,63.481,0.0405,19.723,23.123
butter,10,80,4,62.355,0.0325,19.21,23.871
butter,10,80,5,63.14,0.0212,20.098,22.962
butter,10,100,0,61.487,0.0024,15.196,21.402
butter,10,100,1,61.924,0.0309,16.347,20.897
butter,10,100,2,60.055,0.007,15.305,22.949
butter,10,100,3,61.273,0.0152,15.411,23.08
butter,10,100,4,61.75,0.0151,16.022,21.895
butter,10,100,5,60.097,0.0047,15.611,22.731
cheby1,2,20,0,18.219,0.087,16.125,18.253
cheby1,2,20,1,18.183,0.063,15.677,19.135
cheby1,2,20,2,17.736,0.0625,16.043,18.588
cheby1,2,20,3,16.907,0.0623,15.656,18.631
cheby1,2,20,4,18.126,0.064,15.913,18.588
cheby1,2,20,5,21.08,0.0591,16.176,19.988
cheby1,2,40,0,15.298,0.0652,7.907,18.216
cheby1,2,40,1,14.426,0.0594,8.109,18.149
cheby1,2,40,2,15.315,0.0717,7.713,17.866
cheby1,2,40,3,17.6,0.087,8.349,17.755
cheby1,2,40,4,14.048,0.061,8.034,19.969
cheby1,2,40,5,17.001,0.0605,8.454,18.957
cheby1,2,60,0,15.385,0.0844,5.442,17.935
cheby1,2,60,1,16.035,0.0671,5.383,17.134
cheby1,2,60,2,15.569,0.0602,5.186,17.097
cheby1,2,60,3,16.716,0.0606,4.734,16.478
cheby1,2,60,4,18.332,0.0813,5.074,16.816
cheby1,2,60,5,16.451,0.088,4.772,17.778
cheby1,2,80,0,16.305,0.0644,4.75,16.473
cheby1,2,80,1,15.419,0.0588,3.236,17.514
cheby1,2,80,2,15.176,0.0576,4.384,16.634
cheby1,2,80,3,15.576,0.0578,3.642,17.856
cheby1,2,80,4,16.014,0.0598,4.501,15.448
cheby1,2,80,5,13.775,0.0606,3.813,16.811
cheby1,2,100,0,19.119,0.0899,3.205,15.904
cheby1,2,100,1,14.624,0.0802,3.046,14.7
cheby1,2,100,2,16.964,0.0628,3.966,16.051
cheby1,2,100,3,15.666,0.0676,3.03,16.239
cheby1,2,100,4,16.997,0.0846,3.989,16.661
cheby1,2,100,5,17.311,0.0601,3.238,16.031
cheby1,4,20,0,30.637,0.1157,31.428,20.522
cheby1,4,20,1,34.671,0.1159,32.102,20.633
cheby1,4,20,2,34.501,0.1624,32.696,20.775
cheby1,4,20,3,30.225,0.1293,32.189,20.544
cheby1,4,20,4,31.491,0.1212,32.027,20.435
cheby1,4,20,5,32.569,0.1275,31.832,21.89
cheby1,4,40,0,30.663,0.1293,16.405,20.356
cheby1,4,40,1,29.619,0.1328,16.277,20.59
cheby1,4,40,2,30.259,0.1103,15.484,19.128
cheby1,4,40,3,33.587,0.1245,16.181,19.363
cheby1,4,40,4,32.345,0.1149,15.275,20.742
cheby1,4,40,5,30.456,0.1158,15.476,19.713
cheby1,4,60,0,35.09,0.1174,10.536,20.319
cheby1,4,60,1,31.179,0.1292,10.405,18.998
cheby1,4,60,2,32.326,0.1154,10.417,20.558
cheby1,4,60,3,29.748,0.1217,10.441,20.285
cheby1,4,60,4,33.113,0.1288,10.871,20.777
cheby1,4,60,5,35.329,0.1585,10.747,20.138
cheby1,4,80,0,33.943,0.1389,7.78,18.681
cheby1,4,80,1,36.387,0.1203,7.76,17.592
cheby1,4,80,2,32.178,0.1158,8.766,19.553
cheby1,4,80,3,33.979,0.1347,7.688,17.707
cheby1,4,80,4,32.436,0.113,8.623,20.459
cheby1,4,80,5,32.702,0.1112,7.616,18.74
cheby1,4,100,0,32.962,0.1168,6.399,17.432
cheby1,4,100,1,33.455,0.1351,6.225,17.581
cheby1,4,100,2,33.046,0.1183,6.393,20.112
cheby1,4,100,3,32.962,0.1341,7.161,18.617
cheby1,4,100,4,31.75,0.1434,6.504,17.927
cheby1,4,100,5,30.545,0.1264,6.849,19.234
cheby1,6,20,0,49.055,0.1767,48.085,22.618
cheby1,6,20,1,50.164,0.2138,47.118,21.843
cheby1,6,20,2,48.771,0.1668,48.152,22.828
cheby1,6,20,3,50.29,0.174,47.567,22.434
cheby1,6,20,4,49.161,0.1927,47.613,21.86
cheby1,6,20,5,48.271,0.1976,47.787,21.531
cheby1,6,40,0,51.036,0.1862,23.625,20.976
cheby1,6,40,1,50.463,0.1891,24.085,21.819
cheby1,6,40,2,48.341,0.1711,23.412,20.744
cheby1,6,40,3,49.051,0.1767,23.32,21.414
cheby1,6,40,4,47.41,0.1766,23.502,21.717
cheby1,6,40,5,46.284,0.1662,23.773,21.179
cheby1,6,60,0,48.226,0.1818,15.398,20.51
cheby1,6,60,1,48.061,0.1871,16.01,20.286
cheby1,6,60,2,49.652,0.2,15.242,19.901
cheby1,6,60,3,46.238,0.1669,16.318,20.819
cheby1,6,60,4,47.364,0.2067,15.578,21.635
cheby1,6,60,5,48.524,0.1654,15.644,20.782
cheby1,6,80,0,48.902,0.1832,12.163,20.171
cheby1,6,80,1,46.617,0.2206,12.08,20.102
cheby1,6,80,2,49.889,0.1873,12.322,19.871
cheby1,6,80,3,49.076,0.1886,11.472,19.043
cheby1,6,80,4,49.344,0.1746,11.557,20.675
cheby1,6,80,5,45.159,0.1725,10.927,21.295
cheby1,6,100,0,47.55,0.1658,9.622,19.217
cheby1,6,100,1,47.122,0.1799,9.728,18.167
cheby1,6,100,2,48.843,0.1915,9.835,19.833
cheby1,6,100,3,45.229,0.1675,9.347,19.323
cheby1,6,100,4,48.632,0.1724,9.906,20.014
cheby1,6,100,5,46.895,0.1716,9.648,18.824
cheby1,8,20,0,65.104,0.2247,63.782,22.432
cheby1,8,20,1,65.368,0.2424,63.002,23.887
cheby1,8,20,2,65.738,0.2268,63.907,23.194
cheby1,8,20,3,64.206,0.2477,63.387,22.416
cheby1,8,20,4,65.847,0.2305,63.845,23.459
cheby1,8,20,5,63.286,0.2339,64.405,21.765
cheby1,8,40,0,64.66,0.2415,32.089,21.406
cheby1,8,40,1,63.016,0.233,31.76,21.315
cheby1,8,40,2,67.799,0.2227,31.224,21.144
cheby1,8,40,3,67.363,0.2244,32.339,21.944
cheby1,8,40,4,65.595,0.2367,31.436,23.096
cheby1,8,40,5,65.621,0.227,32.071,21.267
cheby1,8,60,0,66.524,0.2344,21.331,20.489
cheby1,8,60,1,66.658,0.2204,20.769,20.141
cheby1,8,60,2,65.757,0.2235,21.44,20.767
cheby1,8,60,3,67.183,0.223,21.035,20.955
cheby1,8,60,4,62.255,0.2239,21.382,20.671
cheby1,8,60,5,63.637,0.2324,21.314,21.125
cheby1,8,80,0,65.67,0.2276,16.445,20.73
cheby1,8,80,1,67.215,0.2305,15.401,19.192
cheby1,8,80,2,62.437,0.2222,15.048,21.594
cheby1,8,80,3,66.979,0.2271,16.124,20.78
cheby1,8,80,4,64.654,0.2262,15.362,21.017
cheby1,8,80,5,67.445,0.2244,16.492,20.853
cheby1,8,100,0,66.581,0.2513,13.414,19.228
cheby1,8,100,1,66.357,0.2263,12.171,18.663
cheby1,8,100,2,65.236,0.2293,11.105,19.0
cheby1,8,100,3,65.996,0.2277,12.797,19.977
cheby1,8,100,4,62.186,0.23,13.359,19.452
cheby1,8,100,5,63.34,0.2269,12.331,20.004
cheby1,10,20,0,81.507,0.281,79.869,21.028
cheby1,10,20,1,80.369,0.281,78.874,24.126
cheby1,10,20,2,77.9,0.2944,79.687,22.104
cheby1,10,20,3,82.021,0.3184,79.863,22.918
cheby1,10,20,4,81.831,0.2829,79.556,21.963
cheby1,10,20,5,82.142,0.2919,79.52,23.337
cheby1,10,40,0,80.18,0.2764,39.791,21.404
cheby1,10,40,1,81.106,0.2971,40.509,21.526
cheby1,10,40,2,78.467,0.2795,39.565,21.419
cheby1,10,40,3,78.26,0.303,40.436,21.539
cheby1,10,40,4,80.521,0.2768,40.04,23.371
cheby1,10,40,5,81.532,0.2886,39.714,22.905
cheby1,10,60,0,78.812,0.2766,26.647,21.903
cheby1,10,60,1,81.062,0.3008,26.407,21.687
cheby1,10,60,2,80.16,0.3138,25.869,21.775
cheby1,10,60,3,83.586,0.2894,26.333,20.907
cheby1,10,60,4,80.969,0.287,26.345,20.28
cheby1,10,60,5,81.643,0.2809,26.465,21.3
cheby1,10,80,0,81.76,0.2919,19.773,20.73
cheby1,10,80,1,82.915,0.2985,19.311,21.587
cheby1,10,80,2,82.738,0.2805,19.931,19.949
cheby1,10,80,3,80.897,0.2972,20.415,20.353
cheby1,10,80,4,80.155,0.2801,19.83,20.547
cheby1,10,80,5,79.804,0.2794,20.679,20.65
cheby1,10,100,0,78.842,0.2968,15.903,20.409
cheby1,10,100,1,81.126,0.3,16.065,19.831
cheby1,10,100,2,81.775,0.2789,15.693,18.929
cheby1,10,100,3,79.176,0.2897,16.068,20.308
cheby1,10,100,4,78.883,0.284,16.747,19.149
cheby1,10,100,5,81.403,0.2801,16.589,20.644
cheby2,2,20,0,15.556,0.0334,15.451,19.724
cheby2,2,20,1,14.692,0.0307,16.23,20.383
cheby2,2,20,2,15.612,0.0308,16.106,20.449
cheby2,2,20,3,14.284,0.0563,15.777,20.224
cheby2,2,20,4,15.627,0.0723,16.58,18.182
cheby2,2,20,5,15.442,0.0321,15.922,19.063
cheby2,2,40,0,18.54,0.0349,7.439,18.941
cheby2,2,40,1,13.979,0.0302,7.772,19.282
cheby2,2,40,2,19.558,0.0361,7.885,18.832
cheby2,2,40,3,15.081,0.0458,8.351,17.597
cheby2,2,40,4,14.703,0.0331,7.787,18.74
cheby2,2,40,5,13.257,0.0481,8.597,18.971
cheby2,2,60,0,14.639,0.0397,6.047,17.756
cheby2,2,60,1,13.241,0.0616,5.14,16.591
cheby2,2,60,2,15.224,0.0303,5.727,17.41
cheby2,2,60,3,15.088,0.0523,5.323,17.549
cheby2,2,60,4,15.055,0.0556,5.777,17.017
cheby2,2,60,5,18.005,0.0653,5.193,17.914
cheby2,2,80,0,14.078,0.0335,3.749,17.921
cheby2,2,80,1,16.628,0.0352,4.138,18.198
cheby2,2,80,2,16.597,0.033,4.204,17.438
cheby2,2,80,3,17.474,0.0562,4.005,16.876
cheby2,2,80,4,17.483,0.0549,4.463,18.029
cheby2,2,80,5,16.377,0.0597,4.262,16.858
cheby2,2,100,0,14.257,0.0678,3.439,16.31
cheby2,2,100,1,13.964,0.0313,3.301,15.914
cheby2,2,100,2,14.535,0.034,3.065,15.911
cheby2,2,100,3,16.803,0.0538,3.458,15.04
cheby2,2,100,4,17.117,0.0352,2.976,16.557
cheby2,2,100,5,17.477,0.0576,3.108,16.548
cheby2,4,20,0,29.95,0.0671,32.219,22.201
cheby2,4,20,1,32.326,0.0659,31.966,20.654
cheby2,4,20,2,28.586,0.0622,30.792,22.372
cheby2,4,20,3,31.45,0.077,32.295,21.303
cheby2,4,20,4,28.303,0.0901,32.465,22.497
cheby2,4,20,5,30.461,0.0749,31.796,21.544
cheby2,4,40,0,30.938,0.0714,16.327,20.503
cheby2,4,40,1,33.605,0.077,16.173,20.634
cheby2,4,40,2,31.541,0.0761,16.278,20.526
cheby2,4,40,3,31.272,0.0851,15.557,20.738
cheby2,4,40,4,30.247,0.0732,16.065,20.484
cheby2,4,40,5,30.222,0.064,15.994,20.303
cheby2,4,60,0,27.859,0.072,10.785,19.44
cheby2,4,60,1,32.19,0.0714,10.288,19.201
cheby2,4,60,2,29.926,0.0605,10.754,18.92
cheby2,4,60,3,31.405,0.0722,11.372,21.441
cheby2,4,60,4,32.106,0.0872,10.932,19.17
cheby2,4,60,5,31.616,0.0736,10.825,21.038
cheby2,4,80,0,31.633,0.064,8.002,18.866
cheby2,4,80,1,31.529,0.0823,7.53,19.225
cheby2,4,80,2,31.575,0.0637,7.646,20.253
cheby2,4,80,3,31.083,0.1012,8.48,19.469
cheby2,4,80,4,31.098,0.0948,7.481,19.675
cheby2,4,80,5,31.066,0.0892,7.943,18.829
cheby2,4,100,0,31.691,0.0684,6.088,17.642
cheby2,4,100,1,30.613,0.0732,5.997,18.461
cheby2,4,100,2,29.826,0.0756,6.6,17.497
cheby2,4,100,3,33.012,0.0975,5.804,19.429
cheby2,4,100,4,28.757,0.1071,6.268,18.417
cheby2,4,100,5,30.497,0.0808,6.441,17.175
cheby2,6,20,0,47.801,0.1036,47.509,22.843
cheby2,6,20,1,46.407,0.0998,48.309,22.702
cheby2,6,20,2,45.86,0.1035,47.584,22.29
cheby2,6,20,3,48.587,0.1125,47.847,23.234
cheby2,6,20,4,46.855,0.0988,47.385,23.461
cheby2,6,20,5,45.918,0.1392,47.373,22.344
cheby2,6,40,0,45.712,0.0936,23.772,21.034
cheby2,6,40,1,46.798,0.0996,23.376,21.841
cheby2,6,40,2,47.411,0.1169,23.526,21.803
cheby2,6,40,3,47.069,0.0928,23.743,21.129
cheby2,6,40,4,47.367,0.0932,23.868,22.324
cheby2,6,40,5,47.531,0.0952,23.864,22.094
cheby2,6,60,0,45.786,0.1375,15.978,20.741
cheby2,6,60,1,46.015,0.1068,15.509,22.319
cheby2,6,60,2,47.768,0.1034,16.25,21.723
cheby2,6,60,3,47.256,0.0947,16.41,21.893
cheby2,6,60,4,44.903,0.0942,16.104,22.425
cheby2,6,60,5,49.228,0.1121,16.069,20.493
cheby2,6,80,0,46.791,0.0927,11.944,20.685
cheby2,6,80,1,48.051,0.1113,12.064,18.99
cheby2,6,80,2,48.674,0.092,12.069,21.076
cheby2,6,80,3,47.689,0.1233,11.506,20.282
cheby2,6,80,4,47.222,0.0909,11.982,21.469
cheby2,6,80,5,46.979,0.1276,12.217,17.812
cheby2,6,100,0,48.147,0.0935,9.262,19.644
cheby2,6,100,1,46.728,0.1113,9.71,20.118
cheby2,6,100,2,46.088,0.1445,8.652,19.677
cheby2,6,100,3,45.721,0.1027,9.182,19.449
cheby2,6,100,4,47.769,0.1109,9.665,20.698
cheby2,6,100,5,45.854,0.1209,9.831,20.497
cheby2,8,20,0,66.335,0.1491,63.356,23.088
cheby2,8,20,1,60.477,0.1481,63.005,22.218
cheby2,8,20,2,62.614,0.1259,63.957,23.048
cheby2,8,20,3,62.759,0.1294,63.828,24.427
cheby2,8,20,4,60.12,0.1225,63.568,21.507
cheby2,8,20,5,62.03,0.1273,63.567,24.805
cheby2,8,40,0,59.768,0.1292,31.999,22.974
cheby2,8,40,1,63.843,0.1244,31.404,22.382
cheby2,8,40,2,61.717,0.1528,32.144,20.525
cheby2,8,40,3,64.732,0.1214,31.351,23.084
cheby2,8,40,4,63.009,0.1558,32.039,22.759
cheby2,8,40,5,64.422,0.1229,32.243,22.075
cheby2,8,60,0,62.665,0.1465,21.585,22.379
cheby2,8,60,1,63.069,0.1663,20.491,20.927
cheby2,8,60,2,62.125,0.1491,21.19,22.48
cheby2,8,60,3,63.441,0.1204,21.624,21.591
cheby2,8,60,4,63.182,0.1315,21.684,22.904
cheby2,8,60,5,61.732,0.1338,21.28,22.318
cheby2,8,80,0,59.641,0.1354,15.859,20.644
cheby2,8,80,1,63.698,0.1368,16.379,20.56
cheby2,8,80,2,63.293,0.1696,15.607,20.929
cheby2,8,80,3,61.927,0.1215,16.104,21.67
cheby2,8,80,4,61.177,0.1302,16.473,20.575
cheby2,8,80,5,61.527,0.1256,15.531,19.757
cheby2,8,100,0,61.095,0.1478,12.763,19.108
cheby2,8,100,1,62.488,0.169,12.995,20.278
cheby2,8,100,2,62.224,0.1362,12.577,21.773
cheby2,8,100,3,61.587,0.1201,12.386,20.516
cheby2,8,100,4,61.138,0.1275,12.213,20.116
cheby2,8,100,5,63.873,0.133,12.854,21.179
cheby2,10,20,0,74.482,0.152,79.867,24.213
cheby2,10,20,1,76.031,0.1598,79.306,23.481
cheby2,10,20,2,77.508,0.1891,79.258,22.102
cheby2,10,20,3,78.118,0.1505,79.805,25.166
cheby2,10,20,4,76.34,0.1737,79.555,24.012
cheby2,10,20,5,78.673,0.1588,79.864,23.53
cheby2,10,40,0,78.448,0.1744,39.602,22.519
cheby2,10,40,1,76.67,0.1527,40.277,22.891
cheby2,10,40,2,77.625,0.1821,40.063,20.892
cheby2,10,40,3,77.037,0.1502,39.92,21.665
cheby2,10,40,4,78.534,0.167,39.202,23.693
cheby2,10,40,5,78.818,0.1708,40.248,22.963
cheby2,10,60,0,77.536,0.195,26.493,21.76
cheby2,10,60,1,78.834,0.1631,26.027,22.275
cheby2,10,60,2,77.092,0.1725,26.593,22.772
cheby2,10,60,3,77.215,0.1597,26.251,22.86
cheby2,10,60,4,76.827,0.1868,26.291,22.403
cheby2,10,60,5,78.636,0.1813,26.08,21.852
cheby2,10,80,0,76.68,0.174,20.429,21.936
cheby2,10,80,1,77.459,0.1572,19.907,20.652
cheby2,10,80,2,77.352,0.1543,20.019,21.866
cheby2,10,80,3,78.192,0.1609,20.957,22.368
cheby2,10,80,4,78.897,0.1593,19.568,20.889
cheby2,10,80,5,80.105,0.1714,20.367,20.124
cheby2,10,100,0,79.603,0.1603,16.426,22.784
cheby2,10,100,1,81.377,0.1694,15.54,21.653
cheby2,10,100,2,82.057,0.1635,15.496,22.109
cheby2,10,100,3,81.532,0.1894,15.613,21.038
cheby2,10,100,4,79.282,0.1535,15.516,20.984
cheby2,10,100,5,74.706,0.1712,15.364,19.245
ellip,2,20,0,20.228,0.109,16.452,17.882
ellip,2,20,1,20.597,0.0852,16.034,19.313
ellip,2,20,2,19.072,0.1001,16.514,18.083
ellip,2,20,3,19.405,0.0972,16.204,19.04
ellip,2,20,4,21.215,0.0901,15.551,18.875
ellip,2,20,5,19.677,0.1219,15.936,17.796
ellip,2,40,0,19.168,0.0875,6.853,17.682
ellip,2,40,1,21.058,0.0926,7.679,18.113
ellip,2,40,2,20.211,0.1193,8.486,17.726
ellip,2,40,3,19.717,0.0963,8.329,16.119
ellip,2,40,4,19.313,0.1028,7.535,16.922
ellip,2,40,5,20.585,0.1083,8.349,18.155
ellip,2,60,0,21.951,0.1275,4.739,17.806
ellip,2,60,1,21.527,0.1201,4.888,17.195
ellip,2,60,2,22.457,0.0854,4.932,16.609
ellip,2,60,3,22.801,0.0878,4.815,17.645
ellip,2,60,4,20.398,0.0909,4.985,16.812
ellip,2,60,5,22.931,0.095,5.56,17.033
ellip,2,80,0,19.18,0.0935,3.073,14.6
ellip,2,80,1,18.874,0.1058,3.315,15.869
ellip,2,80,2,21.654,0.092,3.366,17.501
ellip,2,80,3,21.646,0.0995,4.176,16.899
ellip,2,80,4,17.837,0.0884,3.882,16.137
ellip,2,80,5,19.979,0.0986,4.018,14.786
ellip,2,100,0,19.63,0.112,3.06,14.816
ellip,2,100,1,21.303,0.1156,2.832,16.199
ellip,2,100,2,19.254,0.1037,3.314,14.737
ellip,2,100,3,23.785,0.1132,3.15,16.263
ellip,2,100,4,19.585,0.1053,3.048,15.748
ellip,2,100,5,20.141,0.0976,3.36,16.659
ellip,4,20,0,41.61,0.1869,31.664,21.076
ellip,4,20,1,40.141,0.1954,31.768,20.56
ellip,4,20,2,43.564,0.202,30.789,19.704
ellip,4,20,3,40.897,0.1758,31.731,21.077
ellip,4,20,4,39.702,0.1776,31.931,20.914
ellip,4,20,5,41.546,0.18,31.792,20.494
ellip,4,40,0,41.439,0.1751,15.652,18.282
ellip,4,40,1,41.227,0.1785,15.905,20.177
ellip,4,40,2,42.208,0.1908,15.97,19.507
ellip,4,40,3,40.981,0.2,15.552,18.827
ellip,4,40,4,43.837,0.1736,15.939,20.591
ellip,4,40,5,37.725,0.1781,15.305,19.189
ellip,4,60,0,43.461,0.1816,10.447,18.596
ellip,4,60,1,45.024,0.1961,10.231,18.115
ellip,4,60,2,39.096,0.185,9.978,20.082
ellip,4,60,3,39.691,0.1714,9.588,19.929
ellip,4,60,4,41.99,0.1922,10.572,19.116
ellip,4,60,5,41.067,0.1833,10.587,19.27
ellip,4,80,0,41.81,0.1807,8.724,19.013
ellip,4,80,1,39.151,0.2006,7.438,19.477
ellip,4,80,2,40.104,0.1975,8.244,18.101
ellip,4,80,3,40.436,0.1709,8.157,18.527
ellip,4,80,4,40.007,0.1861,7.77,18.137
ellip,4,80,5,38.9,0.1985,8.143,18.081
ellip,4,100,0,39.07,0.176,5.702,15.425
ellip,4,100,1,39.557,0.1831,6.469,17.755
ellip,4,100,2,40.4,0.1994,6.12,16.933
ellip,4,100,3,39.097,0.1981,6.394,18.033
ellip,4,100,4,40.122,0.1847,6.721,17.515
ellip,4,100,5,41.288,0.1954,6.276,17.06
ellip,6,20,0,62.288,0.2845,47.344,22.459
