time_s,mV
0.802778,0.424825
0.805556,0.441257
0.808333,0.31558
0.811111,0.278378
0.813889,0.308618
0.816667,0.25728
0.819444,0.372948
0.822222,0.418103
0.825,0.460724
0.827778,0.3305
0.830556,0.307202
0.833333,0.303454
0.836111,0.3056
0.838889,0.37742
0.841667,0.415262
0.844444,0.355961
0.847222,0.38791
0.85,0.343259
0.852778,0.279664
0.855556,0.269082
0.858333,0.357205
0.861111,0.428773
0.863889,0.455035
0.866667,0.465723
0.869444,0.339775
0.872222,0.247815
0.875,0.261628
0.877778,0.354448
0.880556,0.38451
0.883333,0.442621
0.886111,0.370085
0.888889,0.339688
0.891667,0.262605
0.894444,0.299033
0.897222,0.340128
0.9,0.448363
0.902778,0.376664
0.905556,0.374043
0.908333,0.333696
0.911111,0.339178
0.913889,0.30461
0.916667,0.361775
0.919444,0.383747
0.922222,0.429609
0.925,0.407773
0.927778,0.372802
0.930556,0.300612
0.933333,0.269113
0.936111,0.297648
0.938889,0.35494
0.941667,0.463583
0.944444,0.422127
0.947222,0.410422
0.95,0.393449
0.952778,0.268811
0.955556,0.299522
0.958333,0.397757
0.961111,0.432048
0.963889,0.421596
0.966667,0.421867
0.969444,0.327668
0.972222,0.325286
0.975,0.38874
0.977778,0.343747
0.980556,0.448275
0.983333,0.378587
0.986111,0.436431
0.988889,0.370955
0.991667,0.402801
0.994444,0.302261
0.997222,0.419423
1.0,0.403322
1.002778,0.431523
1.005556,0.423543
1.008333,0.394562
1.011111,0.308085
1.013889,0.346749
1.016667,0.333161
1.019444,0.419119
1.022222,0.476087
1.025,0.460817
1.027778,0.412847
1.030556,0.334151
1.033333,0.285943
1.036111,0.323463
1.038889,0.441136
1.041667,0.467907
1.044444,0.453222
1.047222,0.360728
1.05,0.392708
1.052778,0.296576
1.055556,0.325018
1.058333,0.408627
1.061111,0.472012
1.063889,0.483308
1.066667,0.438844
1.069444,0.404162
1.072222,0.312997
1.075,0.358734
1.077778,0.473362
1.080556,0.5426
1.083333,0.526936
1.086111,0.522272
1.088889,0.484981
1.091667,0.398219
1.094444,0.375713
1.097222,0.484765
1.1,0.50899
1.102778,0.515183
1.105556,0.540481
1.108333,0.515792
1.111111,0.461312
1.113889,0.441475
1.116667,0.463085
1.119444,0.564831
1.122222,0.552958
1.125,0.497476
1.127778,0.475441
1.130556,0.328376
1.133333,0.297227
1.136111,0.387411
1.138889,0.400672
1.141667,0.485211
1.144444,0.564302
1.147222,0.420516
1.15,0.338295
1.152778,0.332083
1.155556,0.353355
1.158333,0.394111
1.161111,0.50654
1.163889,0.503598
1.166667,0.412092
1.169444,0.366895
1.172222,0.34091
1.175,0.276034
1.177778,0.307995
1.180556,0.359148
1.183333,0.36805
1.186111,0.474909
1.188889,0.506186
1.191667,0.677103
1.194444,0.959051
1.197222,1.195833
1.2,1.455919
1.202778,1.370881
1.205556,1.163441
1.208333,0.861431
1.211111,0.496357
1.213889,0.293302
1.216667,0.19395
1.219444,0.237621
1.222222,0.256273
1.225,0.336127
1.227778,0.296359
1.230556,0.340092
1.233333,0.330021
1.236111,0.383331
1.238889,0.398179
1.241667,0.475847
1.244444,0.527479
1.247222,0.437287
1.25,0.435556
1.252778,0.307344
1.255556,0.275839
1.258333,0.45343
1.261111,0.478646
1.263889,0.470579
1.266667,0.506727
1.269444,0.380364
1.272222,0.41986
1.275,0.37363
1.277778,0.456317
1.280556,0.54451
1.283333,0.583563
1.286111,0.581569
1.288889,0.457769
1.291667,0.459659
1.294444,0.468794
1.297222,0.567463
1.3,0.600898
1.302778,0.711457
1.305556,0.632938
1.308333,0.588286
1.311111,0.642578
1.313889,0.579894
1.316667,0.638469
1.319444,0.74119
1.322222,0.763854
1.325,0.74759
1.327778,0.656147
1.330556,0.630576
1.333333,0.610848
1.336111,0.678227
1.338889,0.741883
1.341667,0.754315
1.344444,0.7589
1.347222,0.6964
1.35,0.537627
1.352778,0.496922
1.355556,0.528181
1.358333,0.551559
1.361111,0.643336
1.363889,0.659716
1.366667,0.524125
1.369444,0.478464
1.372222,0.470669
1.375,0.383562
1.377778,0.508129
1.380556,0.518732
1.383333,0.506374
1.386111,0.497557
1.388889,0.38737
1.391667,0.388371
1.394444,0.299414
1.397222,0.434333
1.4,0.411494
1.402778,0.532207
1.405556,0.456634
1.408333,0.316298
1.411111,0.302168
1.413889,0.292414
1.416667,0.375568
1.419444,0.399082
1.422222,0.497396
1.425,0.411354
1.427778,0.441166
1.430556,0.33651
1.433333,0.317229
1.436111,0.34039
1.438889,0.386306
1.441667,0.459744
1.444444,0.419256
1.447222,0.402001
1.45,0.320663
1.452778,0.299837
1.455556,0.297553
1.458333,0.389651
1.461111,0.449436
1.463889,0.470903
1.466667,0.398534
1.469444,0.380412
1.472222,0.278443
1.475,0.319395
1.477778,0.361631
1.480556,0.443717
1.483333,0.416727
1.486111,0.412544
1.488889,0.404961
1.491667,0.291624
1.494444,0.353411
1.497222,0.337702
1.5,0.425855
1.502778,0.465635
1.505556,0.380933
1.508333,0.340661
1.511111,0.316136
1.513889,0.274597
1.516667,0.290495
1.519444,0.330202
1.522222,0.446395
1.525,0.423036
1.527778,0.410823
1.530556,0.309367
1.533333,0.306323
1.536111,0.302109
1.538889,0.395973
1.541667,0.383492
1.544444,0.452072
1.547222,0.308634
1.55,0.375043
1.552778,0.248305
1.555556,0.311364
1.558333,0.349493
1.561111,0.363501
1.563889,0.358954
1.566667,0.375095
1.569444,0.330844
1.572222,0.243836
1.575,0.292828
1.577778,0.343763
1.580556,0.417451
1.583333,0.43333
1.586111,0.389653
1.588889,0.333196
1.591667,0.286359
1.594444,0.303732
1.597222,0.362405
1.6,0.379266
1.602778,0.381158
1.605556,0.38344
1.608333,0.343899
1.611111,0.246185
1.613889,0.261789
1.616667,0.290722
1.619444,0.390567
1.622222,0.43238
1.625,0.383408
1.627778,0.341041
1.630556,0.295943
1.633333,0.215361
1.636111,0.232033
1.638889,0.34823
1.641667,0.342769
1.644444,0.440042
1.647222,0.300022
1.65,0.287122
1.652778,0.23066
1.655556,0.26802
1.658333,0.289245
1.661111,0.395061
1.663889,0.381907
1.666667,0.292055
1.669444,0.293508
1.672222,0.229886
1.675,0.274671
1.677778,0.301896
1.680556,0.407752
1.683333,0.400356
1.686111,0.318022
1.688889,0.276345
1.691667,0.248707
1.694444,0.244177
1.697222,0.26708
1.7,0.389993
1.702778,0.386514
1.705556,0.333351
1.708333,0.319605
1.711111,0.279451
1.713889,0.207053
1.716667,0.253532
1.719444,0.355092
1.722222,0.357255
1.725,0.372311
1.727778,0.317146
1.730556,0.266594
1.733333,0.225348
1.736111,0.255996
1.738889,0.271796
1.741667,0.384933
1.744444,0.350197
1.747222,0.301081
1.75,0.228866
1.752778,0.217512
1.755556,0.21987
1.758333,0.306361
1.761111,0.346883
1.763889,0.35565
1.766667,0.317505
1.769444,0.276856
1.772222,0.248643
1.775,0.187076
1.777778,0.326636
1.780556,0.341356
1.783333,0.367576
1.786111,0.327067
1.788889,0.292117
1.791667,0.179169
1.794444,0.234044
1.797222,0.266589
1.8,0.341698
1.802778,0.318448
1.805556,0.333171
1.808333,0.22702
1.811111,0.240078
1.813889,0.187956
1.816667,0.273853
1.819444,0.297256
1.822222,0.33923
1.825,0.35657
1.827778,0.319672
1.830556,0.230245
1.833333,0.174299
1.836111,0.178061
1.838889,0.224327
1.841667,0.344491
1.844444,0.286951
1.847222,0.300021
1.85,0.159583
1.852778,0.196752
1.855556,0.14795
1.858333,0.248944
1.861111,0.317108
1.863889,0.404273
1.866667,0.258857
1.869444,0.247006
1.872222,0.181347
1.875,0.212849
1.877778,0.279947
1.880556,0.31237
1.883333,0.331847
1.886111,0.375197
1.888889,0.241414
1.891667,0.207257
1.894444,0.237825
1.897222,0.297753
1.9,0.337401
1.902778,0.423968
1.905556,0.383855
1.908333,0.360869
1.911111,0.312022
1.913889,0.210162
1.916667,0.287187
1.919444,0.365882
1.922222,0.410253
1.925,0.364638
1.927778,0.314552
1.930556,0.260808
1.933333,0.16455
1.936111,0.206992
1.938889,0.263621
1.941667,0.322606
1.944444,0.323017
1.947222,0.224317
1.95,0.19784
1.952778,0.135805
1.955556,0.219649
1.958333,0.228122
1.961111,0.301625
1.963889,0.308743
1.966667,0.257498
1.969444,0.159181
1.972222,0.076808
1.975,0.175843
1.977778,0.186746
1.980556,0.171265
1.983333,0.250025
1.986111,0.134062
1.988889,0.078411
1.991667,0.016276
1.994444,0.144664
1.997222,0.336608
2.0,0.614035
2.002778,0.880369
2.005556,1.088781
2.008333,1.090029
2.011111,1.079749
2.013889,0.950432
2.016667,0.682213
2.019444,0.452551
2.022222,0.337775
2.025,0.11529
2.027778,0.010235
2.030556,-0.020593
2.033333,-0.050058
2.036111,0.011457
2.038889,0.073056
2.041667,0.198691
2.044444,0.230801
2.047222,0.271387
2.05,0.110223
2.052778,0.09001
2.055556,0.170046
2.058333,0.165678
2.061111,0.242988
2.063889,0.191596
2.066667,0.247102
2.069444,0.163862
2.072222,0.079646
2.075,0.159106
2.077778,0.191488
2.080556,0.272766
2.083333,0.312845
2.086111,0.289365
2.088889,0.220644
2.091667,0.183646
2.094444,0.210661
2.097222,0.223173
2.1,0.341245
2.102778,0.348596
2.105556,0.400276
2.108333,0.31788
2.111111,0.211149
2.113889,0.253513
2.116667,0.334205
2.119444,0.40977
2.122222,0.470611
2.125,0.453783
2.127778,0.4707
2.130556,0.400074
2.133333,0.335561
2.136111,0.454611
2.138889,0.441048
2.141667,0.470676
2.144444,0.516356
2.147222,0.515634
2.15,0.376265
2.152778,0.309894
2.155556,0.36857
2.158333,0.46521
2.161111,0.423471
2.163889,0.421906
2.166667,0.3667
2.169444,0.285399
2.172222,0.245318
2.175,0.310281
2.177778,0.337632
2.180556,0.297087
2.183333,0.327255
2.186111,0.278564
2.188889,0.230231
2.191667,0.151947
2.194444,0.141255
2.197222,0.156338
2.2,0.192259
2.202778,0.26489
2.205556,0.197004
2.208333,0.105758
2.211111,0.114448
2.213889,0.059643
2.216667,0.118157
2.219444,0.11069
2.222222,0.189283
2.225,0.197475
2.227778,0.163197
2.230556,0.04603
2.233333,0.030971
2.236111,0.085807
2.238889,0.166201
2.241667,0.157444
2.244444,0.207936
2.247222,0.139807
2.25,-0.004051
2.252778,-0.023747
2.255556,0.036972
2.258333,0.051005
2.261111,0.150107
2.263889,0.18316
2.266667,0.170736
2.269444,0.030079
2.272222,-0.048392
2.275,0.024997
2.277778,0.093504
2.280556,0.104206
2.283333,0.13469
2.286111,0.156531
2.288889,0.041069
2.291667,0.002753
2.294444,-0.034503
2.297222,0.028168
2.3,0.115765
2.302778,0.123015
2.305556,0.103711
2.308333,0.09477
2.311111,0.078701
2.313889,0.030556
2.316667,-0.016799
2.319444,0.039024
2.322222,0.090851
2.325,0.13111
2.327778,0.042196
2.330556,0.003196
2.333333,0.032903
2.336111,-0.025044
2.338889,0.095289
2.341667,0.103655
2.344444,0.144218
2.347222,0.062465
2.35,-0.047453
2.352778,-0.039348
2.355556,0.00668
2.358333,0.083569
2.361111,0.101871
2.363889,0.092339
2.366667,0.14273
2.369444,0.00864
2.372222,-0.046808
2.375,-0.019673
2.377778,0.042015
2.380556,0.062864
2.383333,0.060127
2.386111,0.079679
2.388889,-0.035133
2.391667,-0.068729
2.394444,-0.113473
2.397222,-0.04828
2.4,0.031948
2.402778,0.149
2.405556,0.054175
2.408333,0.024674
2.411111,-0.07912
2.413889,-0.141611
2.416667,-0.048231
2.419444,0.097907
2.422222,0.066407
2.425,0.036613
2.427778,0.004181
2.430556,-0.065319
2.433333,-0.102573
2.436111,-0.01597
2.438889,0.052533
2.441667,0.043969
2.444444,0.040244
2.447222,0.046651
2.45,-0.044128
2.452778,-0.102877
2.455556,-0.044511
2.458333,-0.011161
2.461111,0.085335
2.463889,0.095873
2.466667,0.001
2.469444,-0.045556
2.472222,-0.053699
2.475,-0.108149
2.477778,0.022708
2.480556,0.030301
2.483333,0.100356
2.486111,-0.012378
2.488889,-0.011381
2.491667,-0.111642
2.494444,-0.065722
2.497222,-0.029566
2.5,0.029846
2.502778,0.05937
2.505556,-0.005903
2.508333,-0.027398
2.511111,-0.045818
2.513889,-0.146048
2.516667,-0.039657
2.519444,-0.033678
2.522222,0.086027
2.525,0.025619
2.527778,-0.041792
2.530556,-0.085861
2.533333,-0.080128
2.536111,-0.050165
2.538889,-0.038984
2.541667,0.034871
2.544444,0.055835
2.547222,-0.046912
2.55,-0.087492
2.552778,-0.109709
2.555556,-0.106109
2.558333,-0.022322
2.561111,0.009128
2.563889,0.022835
2.566667,-0.032125
2.569444,-0.021797
2.572222,-0.117014
2.575,-0.087722
2.577778,-0.079886
2.580556,0.003697
2.583333,0.052518
2.586111,-0.064819
2.588889,-0.07998
2.591667,-0.106118
2.594444,-0.149985
2.597222,-0.101517
2.6,-0.045382
2.602778,-0.005117
2.605556,-0.008305
2.608333,-0.097475
2.611111,-0.117985
2.613889,-0.18934
2.616667,-0.121726
2.619444,-0.041299
2.622222,-0.070456
2.625,-0.055349
2.627778,-0.067314
2.630556,-0.053817
2.633333,-0.213217
2.636111,-0.163279
2.638889,-0.02553
2.641667,-0.023701
2.644444,-0.008186
2.647222,-0.055859
2.65,-0.164668
2.652778,-0.16693
2.655556,-0.080671
2.658333,-0.063131
2.661111,-0.035928
2.663889,-0.018176
2.666667,-0.053165
2.669444,-0.14244
2.672222,-0.11289
2.675,-0.20981
2.677778,-0.147734
2.680556,-0.025357
2.683333,-0.010232
2.686111,-0.051783
2.688889,-0.153361
2.691667,-0.20472
2.694444,-0.174804
2.697222,-0.128706
2.7,-0.053038
2.702778,-0.045609
2.705556,-0.057371
2.708333,-0.146591
2.711111,-0.160907
2.713889,-0.109384
2.716667,-0.112301
2.719444,-0.058247
2.722222,-0.069144
2.725,-0.009983
2.727778,-0.075577
2.730556,-0.148894
2.733333,-0.158735
2.736111,-0.145618
2.738889,-0.058767
2.741667,-0.027923
2.744444,0.018298
2.747222,0.033561
2.75,-0.119514
2.752778,-0.102162
2.755556,-0.083282
2.758333,-0.015436
2.761111,0.063138
2.763889,0.063897
2.766667,-0.005477
2.769444,-0.083831
2.772222,-0.15725
2.775,-0.123756
2.777778,0.00168
2.780556,0.020047
2.783333,0.041527
2.786111,-0.029349
2.788889,-0.086902
2.791667,-0.147192
2.794444,-0.153381
2.797222,-0.128211
2.8,-0.039852
2.802778,-0.06237
2.805556,-0.050157
2.808333,-0.152045
2.811111,-0.173805
2.813889,-0.234431
2.816667,-0.191985
2.819444,-0.12904
2.822222,-0.057733
2.825,-0.101591
2.827778,-0.13958
2.830556,-0.191756
2.833333,-0.221638
2.836111,-0.207381
2.838889,-0.169565
2.841667,-0.106349
2.844444,-0.151556
2.847222,-0.245531
2.85,-0.296047
2.852778,-0.287758
2.855556,-0.238919
2.858333,-0.047794
2.861111,0.242713
2.863889,0.505465
2.866667,0.667414
2.869444,0.718616
2.872222,0.746747
2.875,0.620702
2.877778,0.44652
2.880556,0.267501
2.883333,0.034988
2.886111,-0.136253
2.888889,-0.274785
2.891667,-0.413888
2.894444,-0.426226
2.897222,-0.346281
2.9,-0.248679
2.902778,-0.172788
2.905556,-0.171275
2.908333,-0.218
2.911111,-0.225756
2.913889,-0.260005
2.916667,-0.148711
2.919444,-0.103107
2.922222,-0.112398
2.925,-0.10212
2.927778,-0.211665
2.930556,-0.22471
2.933333,-0.248132
2.936111,-0.200203
2.938889,-0.17913
2.941667,-0.036841
2.944444,-0.055169
2.947222,-0.096656
2.95,-0.144448
2.952778,-0.214865
2.955556,-0.160049
2.958333,-0.090786
2.961111,-0.043985
2.963889,0.04981
2.966667,-0.029242
2.969444,-0.076611
2.972222,-0.150765
2.975,-0.073468
2.977778,-0.054462
2.980556,-0.005913
2.983333,0.097038
2.986111,0.065761
2.988889,0.008531
2.991667,-0.037395
2.994444,0.00114
2.997222,0.069307
3.0,0.146802
3.002778,0.221969
3.005556,0.211133
3.008333,0.05781
3.011111,0.003275
3.013889,0.016422
3.016667,0.104127
3.019444,0.164702
3.022222,0.166863
3.025,0.160136
3.027778,0.031906
3.030556,0.01746
3.033333,0.011028
3.036111,0.023855
3.038889,0.02476
3.041667,0.098619
3.044444,0.066741
3.047222,-0.030779
3.05,-0.060357
3.052778,-0.133462
3.055556,-0.137898
3.058333,-0.061336
3.061111,-0.00439
3.063889,-0.030358
3.066667,-0.046833
3.069444,-0.146667
3.072222,-0.19623
3.075,-0.221151
3.077778,-0.208618
3.080556,-0.106727
3.083333,-0.121817
3.086111,-0.158245
3.088889,-0.217855
3.091667,-0.255632
3.094444,-0.294554
3.097222,-0.229313
3.1,-0.171562
3.102778,-0.188671
3.105556,-0.12077
3.108333,-0.207431
3.111111,-0.29578
3.113889,-0.304158
3.116667,-0.208687
3.119444,-0.182539
3.122222,-0.175376
3.125,-0.146128
3.127778,-0.210655
3.130556,-0.268844
3.133333,-0.309556
3.136111,-0.273616
3.138889,-0.169372
3.141667,-0.170335
3.144444,-0.09383
3.147222,-0.176772
3.15,-0.291023
3.152778,-0.328377
3.155556,-0.271527
3.158333,-0.235067
3.161111,-0.121029
3.163889,-0.152908
3.166667,-0.23412
3.169444,-0.279401
3.172222,-0.276991
3.175,-0.309408
3.177778,-0.246055
3.180556,-0.128477
3.183333,-0.141632
3.186111,-0.187044
3.188889,-0.221105
3.191667,-0.371553
3.194444,-0.292544
3.197222,-0.261969
3.2,-0.229936
3.202778,-0.204429
3.205556,-0.19103
3.208333,-0.214868
3.211111,-0.275859
3.213889,-0.309696
3.216667,-0.222665
3.219444,-0.202495
3.222222,-0.167418
3.225,-0.138911
3.227778,-0.25104
3.230556,-0.261231
3.233333,-0.341768
3.236111,-0.319738
3.238889,-0.190657
3.241667,-0.121526
3.244444,-0.1659
3.247222,-0.239705
3.25,-0.247511
3.252778,-0.378302
3.255556,-0.269214
3.258333,-0.247301
3.261111,-0.177101
3.263889,-0.130778
3.266667,-0.216063
3.269444,-0.315474
3.272222,-0.276036
3.275,-0.340732
3.277778,-0.242983
3.280556,-0.219656
3.283333,-0.164497
3.286111,-0.235593
3.288889,-0.253722
3.291667,-0.304438
3.294444,-0.303173
3.297222,-0.272913
3.3,-0.211084
3.302778,-0.153387
3.305556,-0.195108
3.308333,-0.271008
3.311111,-0.245233
3.313889,-0.335519
3.316667,-0.310116
3.319444,-0.206242
3.322222,-0.163822
3.325,-0.173121
3.327778,-0.219756
3.330556,-0.29849
3.333333,-0.294082
3.336111,-0.364715
3.338889,-0.204166
3.341667,-0.183928
3.344444,-0.160074
3.347222,-0.206454
3.35,-0.262668
3.352778,-0.291831
3.355556,-0.287234
3.358333,-0.214048
3.361111,-0.198993
3.363889,-0.174686
3.366667,-0.203164
3.369444,-0.234319
3.372222,-0.30961
3.375,-0.319535
3.377778,-0.291611
3.380556,-0.150889
3.383333,-0.183376
3.386111,-0.204809
3.388889,-0.270937
3.391667,-0.263975
3.394444,-0.315709
3.397222,-0.236193
3.4,-0.218578
3.402778,-0.150613
3.405556,-0.153974
3.408333,-0.255545
3.411111,-0.28731
3.413889,-0.286353
3.416667,-0.271484
3.419444,-0.2163
3.422222,-0.204911
3.425,-0.184669
3.427778,-0.193613
3.430556,-0.296706
3.433333,-0.338109
3.436111,-0.268569
3.438889,-0.198138
3.441667,-0.199693
3.444444,-0.13787
3.447222,-0.233038
3.45,-0.312705
3.452778,-0.362012
3.455556,-0.295828
3.458333,-0.277385
3.461111,-0.148723
3.463889,-0.207034
3.466667,-0.227406
3.469444,-0.288066
3.472222,-0.297441
3.475,-0.302047
3.477778,-0.25206
3.480556,-0.166786
3.483333,-0.188745
3.486111,-0.166576
3.488889,-0.233087
3.491667,-0.290246
3.494444,-0.358814
3.497222,-0.304955
3.5,-0.208729
3.502778,-0.161274
3.505556,-0.145586
3.508333,-0.263251
3.511111,-0.305904
3.513889,-0.319488
3.516667,-0.294054
3.519444,-0.228616
3.522222,-0.188884
3.525,-0.233444
3.527778,-0.211025
3.530556,-0.291324
3.533333,-0.334535
3.536111,-0.316574
3.538889,-0.177393
3.541667,-0.167986
3.544444,-0.169565
3.547222,-0.253308
3.55,-0.299255
3.552778,-0.338761
3.555556,-0.254262
3.558333,-0.252764
3.561111,-0.179379
3.563889,-0.136729
3.566667,-0.228154
3.569444,-0.245747
3.572222,-0.331839
3.575,-0.273594
3.577778,-0.168388
3.580556,-0.154148
3.583333,-0.130213
3.586111,-0.147247
3.588889,-0.212381
3.591667,-0.352637
3.594444,-0.302648
3.597222,-0.236859
3.6,-0.147097
3.602778,-0.168086
3.605556,-0.166387
3.608333,-0.182262
3.611111,-0.223427
3.613889,-0.257029
3.616667,-0.262678
3.619444,-0.14614
3.622222,-0.119297
3.625,-0.070313
3.627778,-0.208491
3.630556,-0.230103
3.633333,-0.23541
3.636111,-0.190833
3.638889,-0.099481
3.641667,-0.033703
3.644444,-0.008601
3.647222,-0.082226
3.65,-0.195798
3.652778,-0.209066
3.655556,-0.182405
3.658333,-0.137245
3.661111,-0.060324
3.663889,-0.107166
3.666667,-0.152902
3.669444,-0.195548
3.672222,-0.246242
3.675,-0.261256
3.677778,-0.212325
3.680556,-0.160651
3.683333,-0.135356
3.686111,-0.199579
3.688889,-0.222537
3.691667,-0.253817
3.694444,-0.314617
3.697222,-0.231252
3.7,-0.164597
3.702778,-0.179034
3.705556,-0.122898
3.708333,-0.249612
3.711111,-0.314585
3.713889,-0.298677
3.716667,-0.294635
3.719444,-0.286137
3.722222,-0.228849
3.725,-0.213901
3.727778,-0.258404
3.730556,-0.198778
3.733333,-0.078901
3.736111,0.288985
3.738889,0.555751
3.741667,0.754535
3.744444,0.798033
3.747222,0.715363
3.75,0.498733
3.752778,0.121489
3.755556,-0.068861
3.758333,-0.217829
3.761111,-0.293534
3.763889,-0.32472
3.766667,-0.357688
3.769444,-0.40531
3.772222,-0.422022
3.775,-0.325254
3.777778,-0.191721
3.780556,-0.170361
3.783333,-0.143462
3.786111,-0.108526
3.788889,-0.218112
3.791667,-0.25894
3.794444,-0.316365
